conversation,message_uuid,sender,created_at,artifact_title,artifact_relpath,command,language,version_uuid,sha256,bytes
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,Структура проекта тестирования,docs/Create_security_protocols/Структура_проекта_тестирования.md,create,markdown,f76c029c-1c19-4c35-809a-758b0842c5f7,771f435d32ade3ca729980921aba539c88d831ee84e76754246d5fa08b9de5c3,6562
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,requirements.txt - Backend зависимости,docs/Create_security_protocols/requirements.txt_-_Backend_зависимости.txt,create,txt,42fc70c1-8e26-426b-9fa2-7277f0640d9a,ef05a379b36c1f43eae3a3b686fc5300e457e6db52bab21e247d9a1b6662f247,676
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/config.py - Конфигурация,backend/app/config.py - Конфигурация,create,python,4594bafc-c3e0-4eca-8837-3976ae97f145,39385e3236c58f83ec6f4e052c8eff751c534dbb05a4ba36e78b1e11830b2cec,1147
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/database.py - Подключение БД,backend/app/database.py - Подключение БД,create,python,c184f6ec-2381-4a92-b73c-313f16b3ba60,f65c590dce9cee49d2bc8d882a08dc4b07c491063ca61fdf7ec0c1c4373fcddd,1056
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/user.py - Модель пользователя,backend/app/models/user.py - Модель пользователя,create,python,7407e420-0b1c-41b6-9ef9-6be953290f05,fb41d81bc2d66f934fc1e95e5d1a809e9ca4a2c572e86f11bb943e1a18874213,1583
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/group.py - Модель группы,backend/app/models/group.py - Модель группы,create,python,fab3963a-c937-48c1-876c-904626399d56,dcfd1ac2840370d477f476c6ff5711cdad94d4ddff1390a83a7b9e52946dc93d,780
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/test.py - Модель теста,backend/app/models/test.py - Модель теста,create,python,8ead61b4-fe9e-4180-961d-b247979a83b6,6241f387069b1478b3bd1417322d19c804c00f2335cb88fce834eb6ba4baeb2d,1639
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/question.py - Модель вопроса,backend/app/models/question.py - Модель вопроса,create,python,a7ab7047-56c8-4a4e-aac7-dabfd4420511,45596dbc015728a0584df2299d68b866cf083c31509d8a44128ce2c30868dd8c,3114
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/session.py - Модели сессий и результатов,backend/app/models/session.py - Модели сессий и результатов,create,python,3fa41139-5daf-4478-a6c8-c9d54b68cb54,db837dffc56933e66c75069e457ccbdccc51b019a20bc33ad505ef5758638098,3258
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/models/image.py - Модель изображения,backend/app/models/image.py - Модель изображения,create,python,ee9fdcda-424e-40c6-86a3-0b6e69866e87,3c858d20c88e1715f758b35a17ab32ade26cd94bcac06a9d033626b02316e517,1002
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/utils/security.py - Безопасность,backend/app/utils/security.py - Безопасность,create,python,a9c29c00-c8ae-4c04-ae3c-723dcc0082d7,3af6e8bcd7497147e3012b31ffd970b155d64fa6ade5292b32ae2874d04dfdf7,3954
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/main.py - Главный файл FastAPI,backend/app/main.py - Главный файл FastAPI,create,python,c1958692-6102-4c42-b7b8-a941360cd08b,100bed557bd4dfe89453dadbad801167d9c705932a6696c787d13ad80ad6beb5,1946
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,.env.example - Пример конфигурации,docs/Create_security_protocols/.env.example_-_Пример_конфигурации.sh,create,bash,7385b6af-d26d-42ef-8105-02e012cb3ee8,8a163472afd5377a006e0db55d30d5e9d57377402f45e93a6300e66a3507e1ea,648
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,docker-compose.yml - Docker конфигурация,docs/Create_security_protocols/docker-compose.yml_-_Docker_конфигурация.yml,create,yaml,dd99111d-dfce-48a3-bc39-f8e2bf508328,30c9359e3e5c3ebc3e588811368b9065533cb66bdad20b343ec8ee6c1e88204d,1431
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/Dockerfile,backend/Dockerfile,create,dockerfile,07e97517-ce39-4978-9445-b1a4e478b35d,9074492da782042e66c700f329c7c0636fda2d8bd82606978e7a112b17f02cb8,747
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,README.md - Инструкции по запуску,docs/Create_security_protocols/README.md_-_Инструкции_по_запуску.txt,create,,9daed47a-e230-48d5-91b2-305ef7838bb3,f8037407901184072a9b7a4b2ec7929643ee090bc4815d49e6042a7e89838805,7279
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/schemas/user.py - Pydantic схемы,backend/app/schemas/user.py - Pydantic схемы,create,python,c3dc4378-a371-4e21-823b-4c7c8a7a8ccd,01ca4b4eafd485597879699c446463edfc2c163e458ebbad2665cee541594d48,1714
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/api/auth.py - API аутентификации,backend/app/api/auth.py - API аутентификации,create,python,8de78721-2930-4c97-bfb5-2b53bced8515,8ce241f277cf0b666e42dee242d8322de7bd428bc62f5ddb1350c756c8203269,4984
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,untitled,docs/Create_security_protocols/untitled.txt,update,,d5dbf693-a095-452d-a12f-0ed5fe7db954,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,untitled,docs/Create_security_protocols/untitled.txt,update,,8a831ec0-e5c7-45bd-b1b3-0398924b0a84,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,Структура __init__.py файлов,docs/Create_security_protocols/Структура_init_.py_файлов.py,create,python,3ad3729a-7b05-4e5d-813b-0232918a3885,e2b9ed06d827e67293414b18fb1d5450bc643bcea5d4c9f84d6b5852d30fb333,975
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,backend/app/scripts/create_admin.py,backend/app/scripts/create_admin.py,create,python,666f90ac-4d30-4650-8623-a78c05a17292,07f82cef111f898bbdc079f847e14e0204643599548781a354a310055c045719,2144
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,QUICKSTART.md - Быстрый старт,docs/Create_security_protocols/QUICKSTART.md_-_Быстрый_старт.txt,create,,82fedceb-6499-4d3e-a09b-45d54afa9344,aad8e9aceabd27431d258e27331a32a1e915525733cf1a863f18f16a78bc97e5,5006
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/package.json,frontend/package.json,create,json,bddb1a20-28ea-4199-b11e-364b3fbf50f8,b394e885b184bd45731b02524b9d82214aefbe8d15e7d1fdee244aa00ca3f610,1001
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/vite.config.js,frontend/vite.config.js,create,javascript,6caae28c-64dc-4928-bc74-6555d04dc27a,4a938953c4fb0c00e3b1704ed7fd7ca9bf06fec4f2fb46705cfa158dd2e66fd4,484
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/tailwind.config.js,frontend/tailwind.config.js,create,javascript,5a5230de-f118-42cb-bff3-02f7cc282bf2,8c2c4e4d5a0032385efedf278a0089ab54c211254578e9729c3b7cc56c7467eb,500
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/services/api.js,frontend/src/services/api.js,create,javascript,1aac4781-528a-47bc-ab25-d113636de037,2b16740ce9ddbabb5845689c5a52407e6e078009205588dcec418233a4785b5f,1969
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/services/authService.js,frontend/src/services/authService.js,create,javascript,d7957c12-53ba-459a-bdd2-f65d27ab3053,45343c5bd2ab1cb686f1a9e1242339786a0034b944a81435fa1bb6a4f44f8d25,1356
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/store/authStore.js,frontend/src/store/authStore.js,create,javascript,ac9327d8-8a5a-4dac-a4d4-ff1ea4de9e83,abfdfb9a85c53fc0dc7ebef78cb525ed9d03bd650ff568679747c04ed6846107,1408
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/pages/LoginPage.jsx,frontend/src/pages/LoginPage.jsx,create,javascript,5f46047c-476d-427e-b6f8-a94a646434df,3a11068fccdac27eb7605ec162132ddb10d73ad16e5159cdfea36c5db8cf33e2,5238
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/App.jsx,frontend/src/App.jsx,create,javascript,58a15b13-80c4-4ff5-80e5-20e23685091c,69688d5e55f090aece1d41582b9c4216b835027557681a51010122cb22336fd6,1827
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/components/common/ProtectedRoute.jsx,frontend/src/components/common/ProtectedRoute.jsx,create,javascript,7f40a208-6e10-43eb-9682-ae63fb74b5fb,8912574177385fed91509af3b12e73daf4d3830a113b55d0f835e5971d24392a,486
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/components/common/LoadingScreen.jsx,frontend/src/components/common/LoadingScreen.jsx,create,javascript,5a0a5d01-e3bd-4169-9097-b01141f1855f,26e09a8b46ead20f5db7779d196ca0303146efa3f5b4294b95dd6effb4043907,456
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/pages/StudentDashboard.jsx,frontend/src/pages/StudentDashboard.jsx,create,javascript,69ca1f65-a79c-4918-acb5-da09d8ec7f85,cb3642ef2611b31ed7d858c01bbc4970e3aba0a6a2d4200f257a23a85c47ab84,3558
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/pages/AdminDashboard.jsx,frontend/src/pages/AdminDashboard.jsx,create,javascript,1858a3d7-9f26-41e0-83b6-987083ebf447,5cfc2ba3ddf5d6e6bc609fc593cbfc0ec345c681853dd4b2dacd513ec06652ef,5455
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/main.jsx,frontend/src/main.jsx,create,javascript,da4dc820-e472-435a-a826-a42f5500ab4f,dfe7f7d0a5d86fe1ab508f0eb8608eb46efeba6819f9bd8ade68d9af6873a739,234
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/src/index.css,frontend/src/index.css,create,css,c1dee371-a9e9-4ac2-9358-469e64a77465,c84969ab71d2cfe92c1fcb9f1d841a5e5178b9dd24e311abd121a2133868d18b,407
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,frontend/index.html,frontend/index.html,create,,213a8282-539f-42f2-b3e5-4f4685e054fe,1b05362a0989936bd9c4b0670b45694fa436dfbbf2745f458632884a3037e8e6,404
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,DEPLOYMENT.md - Полная инструкция по развертыванию,docs/Create_security_protocols/DEPLOYMENT.md_-_Полная_инструкция_по_развертыванию.txt,create,,6c5c7dc0-f5d1-4e04-8a8d-e4224fb18206,ae5487fc5285021370295154dfa4d39a1eef48bbd517ba4fa1e6eebaea5f330a,9633
Create security protocols,019b4ab5-2856-75eb-b502-2957887ac5b2,assistant,2025-12-23T10:24:13.270458Z,PROJECT_STATUS.md - Статус и план разработки,docs/Create_security_protocols/PROJECT_STATUS.md_-_Статус_и_план_разработки.txt,create,,574be927-b7eb-463f-a507-4b0c193f18b3,80b12e52e4876bc0c3baee9b7f0de72316e8aa0415d3c660a50f94416f55d22a,13224
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,backend/app/schemas/test.py - Схемы для тестов,backend/app/schemas/test.py - Схемы для тестов,create,python,63be059a-88b2-422b-938e-190b3cbb2840,2017758707b3e537954e5bb6e30c38741da512e194d24178450c191a1ea2396a,5074
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,backend/app/services/test_service.py - Бизнес-логика тестов,backend/app/services/test_service.py - Бизнес-логика тестов,create,python,57ad3f65-8454-411f-9196-a37b74d7fa36,56c625a1f44bad951a0b8ca1a11f9d1a9d81a74c94c750bfa33171bdc201bccc,11354
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,backend/app/api/tests.py - API для тестов,backend/app/api/tests.py - API для тестов,create,python,f48f6e18-7f25-40c9-aafb-2d58d49a2d4d,71b2f808ce466708060b34bbefa150f7c909784fccc84f8ec612fc97e3d0fd39,10495
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,untitled,docs/Create_security_protocols/untitled.txt,update,,c181690c-355c-4b2d-9a6a-97356d51888d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,untitled,docs/Create_security_protocols/untitled.txt,update,,168849c7-0c9c-4316-bfae-287ce35d2c40,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,untitled,docs/Create_security_protocols/untitled.txt,update,,5e071880-1fa5-4069-9df5-889d5be32020,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,API_TESTS_GUIDE.md - Руководство по API тестов,docs/Create_security_protocols/API_TESTS_GUIDE.md_-_Руководство_по_API_тестов.txt,create,,71f171ea-06fc-4eb0-b418-e0f30111c074,802d77503534c4be530f3e8c34e45468826ae4370914a1a6d6625572ee47cf2c,13473
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,frontend/src/services/testService.js,frontend/src/services/testService.js,create,javascript,f20d0b32-3389-4cdc-b4d0-1949919e4925,bbbb8b034e8c4162b1323ac3835fa7a93ec7158247f329b11b26c6d372562df1,4183
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,frontend/src/components/test/TestList.jsx,frontend/src/components/test/TestList.jsx,create,javascript,65d831f3-1d74-4bd8-a39d-73e13dd2c256,6d50db706ef8eb18500dd7cc14d082c10826a0b71348976f5762911abf50685b,10921
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,TESTING_API.md - Руководство по тестированию API,docs/Create_security_protocols/TESTING_API.md_-_Руководство_по_тестированию_API.txt,create,,8a3e26b4-6eb2-4469-88c8-e2ecf4818824,a7e481d5b25ee7446c42ce44f9744b2a67113a012d21ca508894db0c9ebea6bc,10326
Create security protocols,019b4f6c-b072-7316-a285-99c6bc77973b,assistant,2025-12-24T08:19:26.743257Z,untitled,docs/Create_security_protocols/untitled.txt,update,,7640abe3-836a-483d-b527-e6baed2c5244,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
Create security protocols,019b4f71-ddd3-70c5-83aa-ccb218fac6b0,assistant,2025-12-24T08:25:26.108764Z,frontend/src/pages/TestCreatorPage.jsx,frontend/src/pages/TestCreatorPage.jsx,create,javascript,f138d199-0d9d-4496-8833-bffbf88739e1,8571f5bad2e72145a4fd3169f56043e34739df916259dd5ecd068e3a29486f50,8404
